2017-03-27  09:14:54.879,  Generating log file
2017-03-27  09:14:54.891,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:14:55.006,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:15:00.200,  168 / 218,   21.0 20.0
2017-03-27  09:15:00.221,  169 / 218,   25.0 21.0
2017-03-27  09:15:00.243,  170 / 218,   22.0 15.0
2017-03-27  09:15:00.271,  171 / 218,   22.0 11.0
2017-03-27  09:15:00.296,  172 / 218,   12.0 4.0
2017-03-27  09:15:00.317,  173 / 218,   -3.0 -11.0
2017-03-27  09:15:00.338,  174 / 218,   -7.0 -18.0
2017-03-27  09:15:00.363,  175 / 218,   -10.0 -23.0
2017-03-27  09:15:00.384,  176 / 218,   -12.0 -21.0
2017-03-27  09:15:00.406,  177 / 218,   -14.0 -20.0
2017-03-27  09:15:00.432,  178 / 218,   -8.0 -10.0
2017-03-27  09:15:00.456,  179 / 218,   11.0 -4.0
2017-03-27  09:15:00.478,  180 / 218,   19.0 -7.0
2017-03-27  09:15:00.506,  181 / 218,   17.0 -10.0
2017-03-27  09:15:00.528,  182 / 218,   15.0 -12.0
2017-03-27  09:15:00.549,  183 / 218,   11.0 -14.0
2017-03-27  09:15:00.573,  184 / 218,   10.0 -21.0
2017-03-27  09:15:00.595,  185 / 218,   4.0 -25.0
2017-03-27  09:15:00.617,  186 / 218,   1.0 -16.0
2017-03-27  09:15:00.638,  187 / 218,   -2.0 -14.0
2017-03-27  09:15:00.659,  188 / 218,   -4.0 -17.0
2017-03-27  09:15:00.687,  189 / 218,   -7.0 -17.0
2017-03-27  09:15:00.710,  190 / 218,   -9.0 -18.0
2017-03-27  09:15:00.733,  191 / 218,   -11.0 -19.0
2017-03-27  09:15:00.755,  192 / 218,   -11.0 -16.0
2017-03-27  09:15:00.778,  193 / 218,   -20.0 -25.0
2017-03-27  09:15:00.800,  194 / 218,   -2.0 -5.0
2017-03-27  09:15:00.826,  195 / 218,   9.0 -11.0
2017-03-27  09:15:00.852,  196 / 218,   10.0 -12.0
2017-03-27  09:15:00.874,  197 / 218,   3.0 -4.0
2017-03-27  09:15:00.896,  198 / 218,   5.0 -6.0
2017-03-27  09:15:00.925,  199 / 218,   15.0 -19.0
2017-03-27  09:15:00.948,  200 / 218,   18.0 -28.0
2017-03-27  09:15:00.975,  201 / 218,   2.0 -5.0
2017-03-27  09:15:01.050,  202 / 218,   0.0 -3.0
2017-03-27  09:15:01.077,  203 / 218,   -4.0 -2.0
2017-03-27  09:15:01.099,  204 / 218,   -7.0 -2.0
2017-03-27  09:15:01.120,  205 / 218,   -16.0 -1.0
2017-03-27  09:15:01.143,  206 / 218,   -15.0 2.0
2017-03-27  09:15:01.157,  207 / 218,   -16.0 5.0
2017-03-27  09:15:01.171,  208 / 218,   -19.0 8.0
2017-03-27  09:15:01.184,  209 / 218,   -20.0 11.0
2017-03-27  09:15:01.196,  210 / 218,   -28.0 20.0
2017-03-27  09:15:01.208,  211 / 218,   -36.0 26.0
2017-03-27  09:15:01.224,  212 / 218,   -26.0 19.0
2017-03-27  09:15:01.239,  213 / 218,   -22.0 20.0
2017-03-27  09:15:01.252,  214 / 218,   -18.0 20.0
2017-03-27  09:15:01.265,  215 / 218,   -12.0 18.0
2017-03-27  09:15:01.279,  216 / 218,   -6.0 21.0
2017-03-27  09:15:01.292,  217 / 218,   -1.0 19.0
2017-03-27  09:15:01.306,  218 / 218,   0.0 0.0
2017-03-27  09:15:10.656,  Generating log file
2017-03-27  09:15:10.668,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:15:10.781,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:15:12.803,  2 / 218,   14.0 12.0
2017-03-27  09:15:12.815,  3 / 218,   13.0 9.0
2017-03-27  09:15:12.827,  4 / 218,   6.0 4.0
2017-03-27  09:15:12.843,  5 / 218,   6.0 7.0
2017-03-27  09:15:12.856,  6 / 218,   22.0 22.0
2017-03-27  09:15:12.869,  7 / 218,   20.0 19.0
2017-03-27  09:15:12.881,  8 / 218,   16.0 12.0
2017-03-27  09:15:12.894,  9 / 218,   7.0 4.0
2017-03-27  09:15:12.908,  10 / 218,   7.0 1.0
2017-03-27  09:15:12.920,  11 / 218,   7.0 -1.0
2017-03-27  09:15:12.935,  12 / 218,   4.0 -6.0
2017-03-27  09:15:12.949,  13 / 218,   14.0 -14.0
2017-03-27  09:15:12.961,  14 / 218,   19.0 -7.0
2017-03-27  09:15:12.976,  15 / 218,   27.0 -2.0
2017-03-27  09:15:12.991,  16 / 218,   41.0 3.0
2017-03-27  09:15:13.005,  17 / 218,   39.0 5.0
2017-03-27  09:15:13.017,  18 / 218,   8.0 2.0
2017-03-27  09:15:13.029,  19 / 218,   2.0 2.0
2017-03-27  09:15:13.042,  20 / 218,   -13.0 11.0
2017-03-27  09:15:13.057,  21 / 218,   -13.0 13.0
2017-03-27  09:15:13.069,  22 / 218,   -7.0 12.0
2017-03-27  09:15:13.081,  23 / 218,   -2.0 11.0
2017-03-27  09:15:13.096,  24 / 218,   3.0 10.0
2017-03-27  09:15:13.109,  25 / 218,   7.0 11.0
2017-03-27  09:15:13.123,  26 / 218,   10.0 9.0
2017-03-27  09:15:13.147,  27 / 218,   15.0 9.0
2017-03-27  09:15:13.168,  28 / 218,   17.0 6.0
2017-03-27  09:15:13.190,  29 / 218,   58.0 6.0
2017-03-27  09:15:13.212,  30 / 218,   90.0 9.0
2017-03-27  09:15:13.227,  31 / 218,   22.0 1.0
2017-03-27  09:15:13.238,  32 / 218,   16.0 -2.0
2017-03-27  09:15:13.251,  33 / 218,   14.0 -7.0
2017-03-27  09:15:13.265,  34 / 218,   16.0 -13.0
2017-03-27  09:15:13.278,  35 / 218,   11.0 -12.0
2017-03-27  09:15:13.290,  36 / 218,   5.0 -12.0
2017-03-27  09:15:13.303,  37 / 218,   0.0 -10.0
2017-03-27  09:15:13.316,  38 / 218,   -2.0 -13.0
2017-03-27  09:15:13.328,  39 / 218,   -3.0 -12.0
2017-03-27  09:15:13.341,  40 / 218,   -4.0 -7.0
2017-03-27  09:15:13.355,  41 / 218,   -118.0 -113.0
2017-03-27  09:15:13.367,  42 / 218,   -6.0 -9.0
2017-03-27  09:15:13.381,  43 / 218,   15.0 -12.0
2017-03-27  09:15:13.392,  44 / 218,   41.0 -23.0
2017-03-27  09:15:13.405,  45 / 218,   41.0 -16.0
2017-03-27  09:15:13.416,  46 / 218,   25.0 -10.0
2017-03-27  09:15:13.429,  47 / 218,   20.0 -14.0
2017-03-27  09:15:13.441,  48 / 218,   6.0 -7.0
2017-03-27  09:15:13.456,  49 / 218,   4.0 -10.0
2017-03-27  09:15:13.468,  50 / 218,   4.0 -18.0
2017-03-27  09:15:13.479,  51 / 218,   -2.0 -16.0
2017-03-27  09:15:13.491,  52 / 218,   -8.0 -14.0
2017-03-27  09:15:13.506,  53 / 218,   -14.0 -11.0
2017-03-27  09:15:13.518,  54 / 218,   -32.0 -14.0
2017-03-27  09:15:13.530,  55 / 218,   -70.0 -21.0
2017-03-27  09:15:13.541,  56 / 218,   -43.0 -9.0
2017-03-27  09:15:13.553,  57 / 218,   -34.0 -2.0
2017-03-27  09:15:13.569,  58 / 218,   -14.0 1.0
2017-03-27  09:15:13.582,  59 / 218,   -12.0 3.0
2017-03-27  09:15:13.594,  60 / 218,   -11.0 4.0
2017-03-27  09:15:13.609,  61 / 218,   -10.0 5.0
2017-03-27  09:15:13.620,  62 / 218,   -7.0 5.0
2017-03-27  09:15:13.633,  63 / 218,   -10.0 13.0
2017-03-27  09:15:13.645,  64 / 218,   -9.0 13.0
2017-03-27  09:15:13.659,  65 / 218,   -3.0 8.0
2017-03-27  09:15:13.671,  66 / 218,   0.0 10.0
2017-03-27  09:15:13.684,  67 / 218,   5.0 9.0
2017-03-27  09:15:13.696,  68 / 218,   3.0 3.0
2017-03-27  09:15:13.707,  69 / 218,   -6.0 -2.0
2017-03-27  09:15:13.719,  70 / 218,   -14.0 -5.0
2017-03-27  09:15:13.730,  71 / 218,   -14.0 -6.0
2017-03-27  09:15:13.742,  72 / 218,   -9.0 -4.0
2017-03-27  09:15:13.758,  73 / 218,   -10.0 -6.0
2017-03-27  09:15:13.769,  74 / 218,   -7.0 -7.0
2017-03-27  09:15:13.781,  75 / 218,   -2.0 -8.0
2017-03-27  09:15:13.794,  76 / 218,   -1.0 -4.0
2017-03-27  09:15:13.808,  77 / 218,   6.0 -18.0
2017-03-27  09:15:13.821,  78 / 218,   3.0 -7.0
2017-03-27  09:15:13.834,  79 / 218,   -2.0 -1.0
2017-03-27  09:15:13.845,  80 / 218,   -7.0 5.0
2017-03-27  09:15:13.859,  81 / 218,   -11.0 10.0
2017-03-27  09:15:13.871,  82 / 218,   -9.0 9.0
2017-03-27  09:15:13.882,  83 / 218,   -10.0 10.0
2017-03-27  09:15:13.895,  84 / 218,   -10.0 10.0
2017-03-27  09:15:13.907,  85 / 218,   -10.0 11.0
2017-03-27  09:15:13.918,  86 / 218,   -7.0 8.0
2017-03-27  09:15:13.930,  87 / 218,   -3.0 3.0
2017-03-27  09:15:13.942,  88 / 218,   -5.0 4.0
2017-03-27  09:15:13.956,  89 / 218,   -6.0 5.0
2017-03-27  09:15:13.969,  90 / 218,   -6.0 6.0
2017-03-27  09:15:13.981,  91 / 218,   -7.0 7.0
2017-03-27  09:15:13.992,  92 / 218,   -8.0 8.0
2017-03-27  09:15:14.005,  93 / 218,   -16.0 16.0
2017-03-27  09:15:14.017,  94 / 218,   -15.0 15.0
2017-03-27  09:15:14.029,  95 / 218,   -10.0 11.0
2017-03-27  09:15:14.042,  96 / 218,   -5.0 9.0
2017-03-27  09:15:14.053,  97 / 218,   -2.0 4.0
2017-03-27  09:15:14.065,  98 / 218,   -8.0 8.0
2017-03-27  09:15:14.077,  99 / 218,   -11.0 11.0
2017-03-27  09:15:14.088,  100 / 218,   -6.0 6.0
2017-03-27  09:15:14.100,  101 / 218,   -6.0 3.0
2017-03-27  09:15:14.111,  102 / 218,   -6.0 4.0
2017-03-27  09:15:14.124,  103 / 218,   -6.0 5.0
2017-03-27  09:15:14.135,  104 / 218,   -7.0 6.0
2017-03-27  09:15:14.150,  105 / 218,   -8.0 7.0
2017-03-27  09:15:14.162,  106 / 218,   -10.0 10.0
2017-03-27  09:15:14.175,  107 / 218,   -8.0 8.0
2017-03-27  09:15:14.187,  108 / 218,   0.0 0.0
2017-03-27  09:15:14.198,  109 / 218,   160.0 -151.0
2017-03-27  09:15:14.212,  110 / 218,   6.0 -1.0
2017-03-27  09:15:14.226,  111 / 218,   11.0 2.0
2017-03-27  09:15:14.239,  112 / 218,   32.0 9.0
2017-03-27  09:15:14.252,  113 / 218,   27.0 11.0
2017-03-27  09:15:14.265,  114 / 218,   26.0 13.0
2017-03-27  09:15:14.277,  115 / 218,   29.0 17.0
2017-03-27  09:15:14.288,  116 / 218,   40.0 26.0
2017-03-27  09:15:14.300,  117 / 218,   21.0 13.0
2017-03-27  09:15:14.311,  118 / 218,   2.0 0.0
2017-03-27  09:15:14.328,  119 / 218,   2.0 -4.0
2017-03-27  09:15:14.340,  120 / 218,   10.0 -31.0
2017-03-27  09:15:14.352,  121 / 218,   15.0 -36.0
2017-03-27  09:15:14.364,  122 / 218,   17.0 3.0
2017-03-27  09:15:14.376,  123 / 218,   -2.0 10.0
2017-03-27  09:15:14.388,  124 / 218,   -11.0 33.0
2017-03-27  09:15:14.402,  125 / 218,   -9.0 36.0
2017-03-27  09:15:14.414,  126 / 218,   0.0 5.0
2017-03-27  09:15:14.425,  127 / 218,   1.0 2.0
2017-03-27  09:15:14.437,  128 / 218,   5.0 6.0
2017-03-27  09:15:14.449,  129 / 218,   1.0 4.0
2017-03-27  09:15:14.466,  130 / 218,   -1.0 3.0
2017-03-27  09:15:14.479,  131 / 218,   -6.0 4.0
2017-03-27  09:15:14.491,  132 / 218,   -4.0 1.0
2017-03-27  09:15:14.502,  133 / 218,   -5.0 61.0
2017-03-27  09:15:14.514,  134 / 218,   6.0 61.0
2017-03-27  09:15:14.530,  135 / 218,   -10.0 -2.0
2017-03-27  09:15:14.544,  136 / 218,   -10.0 -2.0
2017-03-27  09:15:14.556,  137 / 218,   -7.0 -67.0
2017-03-27  09:15:14.568,  138 / 218,   6.0 -67.0
2017-03-27  09:15:14.579,  139 / 218,   -3.0 -2.0
2017-03-27  09:15:14.595,  140 / 218,   -33.0 -20.0
2017-03-27  09:15:14.608,  141 / 218,   -51.0 -31.0
2017-03-27  09:15:14.619,  142 / 218,   -39.0 -20.0
2017-03-27  09:15:14.631,  143 / 218,   -37.0 -13.0
2017-03-27  09:15:14.643,  144 / 218,   -36.0 -9.0
2017-03-27  09:15:14.658,  145 / 218,   -4.0 -2.0
2017-03-27  09:15:14.670,  146 / 218,   2.0 -4.0
2017-03-27  09:15:14.684,  147 / 218,   5.0 -6.0
2017-03-27  09:15:14.698,  148 / 218,   5.0 -5.0
2017-03-27  09:15:14.711,  149 / 218,   72.0 -48.0
2017-03-27  09:15:14.724,  150 / 218,   2.0 13.0
2017-03-27  09:15:14.738,  151 / 218,   2.0 4.0
2017-03-27  09:15:14.752,  152 / 218,   11.0 1.0
2017-03-27  09:15:14.764,  153 / 218,   14.0 1.0
2017-03-27  09:15:14.776,  154 / 218,   9.0 -12.0
2017-03-27  09:15:14.788,  155 / 218,   9.0 -12.0
2017-03-27  09:15:14.800,  156 / 218,   -24.0 -4.0
2017-03-27  09:15:14.812,  157 / 218,   -21.0 -2.0
2017-03-27  09:15:14.825,  158 / 218,   -2.0 11.0
2017-03-27  09:15:14.836,  159 / 218,   0.0 0.0
2017-03-27  09:15:14.848,  160 / 218,   272.0 210.0
2017-03-27  09:15:14.859,  161 / 218,   5.0 17.0
2017-03-27  09:15:14.875,  162 / 218,   7.0 17.0
2017-03-27  09:15:14.887,  163 / 218,   10.0 20.0
2017-03-27  09:15:14.898,  164 / 218,   29.0 44.0
2017-03-27  09:15:14.910,  165 / 218,   22.0 29.0
2017-03-27  09:15:14.922,  166 / 218,   26.0 34.0
2017-03-27  09:15:14.934,  167 / 218,   15.0 18.0
2017-03-27  09:15:14.946,  168 / 218,   21.0 20.0
2017-03-27  09:15:14.957,  169 / 218,   25.0 21.0
2017-03-27  09:15:14.973,  170 / 218,   22.0 15.0
2017-03-27  09:15:14.985,  171 / 218,   22.0 11.0
2017-03-27  09:15:14.997,  172 / 218,   12.0 4.0
2017-03-27  09:15:15.010,  173 / 218,   -3.0 -11.0
2017-03-27  09:15:15.022,  174 / 218,   -7.0 -18.0
2017-03-27  09:15:15.034,  175 / 218,   -10.0 -23.0
2017-03-27  09:15:15.048,  176 / 218,   -12.0 -21.0
2017-03-27  09:15:15.062,  177 / 218,   -14.0 -20.0
