2017-03-27  08:59:40.809,  Generating log file
2017-03-27  08:59:40.817,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:59:41.027,  Connected to Arduino on /dev/ttyACM0
2017-03-27  08:59:45.096,  165 / 218,   22.0 29.0
2017-03-27  08:59:45.108,  166 / 218,   26.0 34.0
2017-03-27  08:59:45.121,  167 / 218,   15.0 18.0
2017-03-27  08:59:45.134,  168 / 218,   21.0 20.0
2017-03-27  08:59:45.146,  169 / 218,   25.0 21.0
2017-03-27  08:59:45.160,  170 / 218,   22.0 15.0
2017-03-27  08:59:45.172,  171 / 218,   22.0 11.0
2017-03-27  08:59:45.183,  172 / 218,   12.0 4.0
2017-03-27  08:59:45.198,  173 / 218,   -3.0 -11.0
2017-03-27  08:59:45.211,  174 / 218,   -7.0 -18.0
2017-03-27  08:59:45.222,  175 / 218,   -10.0 -23.0
2017-03-27  08:59:45.234,  176 / 218,   -12.0 -21.0
2017-03-27  08:59:45.246,  177 / 218,   -14.0 -20.0
2017-03-27  08:59:45.261,  178 / 218,   -8.0 -10.0
2017-03-27  08:59:45.277,  179 / 218,   11.0 -4.0
2017-03-27  08:59:45.289,  180 / 218,   19.0 -7.0
2017-03-27  08:59:45.300,  181 / 218,   17.0 -10.0
2017-03-27  08:59:45.312,  182 / 218,   15.0 -12.0
2017-03-27  08:59:45.326,  183 / 218,   11.0 -14.0
2017-03-27  08:59:45.339,  184 / 218,   10.0 -21.0
2017-03-27  08:59:45.353,  185 / 218,   4.0 -25.0
2017-03-27  08:59:45.365,  186 / 218,   1.0 -16.0
2017-03-27  08:59:45.378,  187 / 218,   -2.0 -14.0
2017-03-27  08:59:45.391,  188 / 218,   -4.0 -17.0
2017-03-27  08:59:45.408,  189 / 218,   -7.0 -17.0
2017-03-27  08:59:45.420,  190 / 218,   -9.0 -18.0
2017-03-27  08:59:45.432,  191 / 218,   -11.0 -19.0
2017-03-27  08:59:45.445,  192 / 218,   -11.0 -16.0
2017-03-27  08:59:45.462,  193 / 218,   -20.0 -25.0
2017-03-27  08:59:45.474,  194 / 218,   -2.0 -5.0
2017-03-27  08:59:45.486,  195 / 218,   9.0 -11.0
2017-03-27  08:59:45.497,  196 / 218,   10.0 -12.0
2017-03-27  08:59:45.513,  197 / 218,   3.0 -4.0
2017-03-27  08:59:45.524,  198 / 218,   5.0 -6.0
2017-03-27  08:59:45.539,  199 / 218,   15.0 -19.0
2017-03-27  08:59:45.552,  200 / 218,   18.0 -28.0
2017-03-27  08:59:45.564,  201 / 218,   2.0 -5.0
2017-03-27  08:59:45.575,  202 / 218,   0.0 -3.0
2017-03-27  08:59:45.586,  203 / 218,   -4.0 -2.0
2017-03-27  08:59:45.598,  204 / 218,   -7.0 -2.0
2017-03-27  08:59:45.611,  205 / 218,   -16.0 -1.0
2017-03-27  08:59:45.631,  206 / 218,   -15.0 2.0
2017-03-27  08:59:45.645,  207 / 218,   -16.0 5.0
2017-03-27  08:59:45.658,  208 / 218,   -19.0 8.0
2017-03-27  08:59:45.672,  209 / 218,   -20.0 11.0
2017-03-27  08:59:45.689,  210 / 218,   -28.0 20.0
2017-03-27  08:59:45.702,  211 / 218,   -36.0 26.0
2017-03-27  08:59:45.716,  212 / 218,   -26.0 19.0
2017-03-27  08:59:45.728,  213 / 218,   -22.0 20.0
2017-03-27  08:59:45.741,  214 / 218,   -18.0 20.0
2017-03-27  08:59:45.756,  215 / 218,   -12.0 18.0
2017-03-27  08:59:45.769,  216 / 218,   -6.0 21.0
2017-03-27  08:59:45.781,  217 / 218,   -1.0 19.0
2017-03-27  08:59:45.795,  218 / 218,   0.0 0.0
