2017-03-27  08:20:20.672,  Generating log file
2017-03-27  08:20:20.684,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:20:23.037,  167 / 218,   15.0 18.0
2017-03-27  08:20:23.052,  168 / 218,   21.0 20.0
2017-03-27  08:20:23.065,  169 / 218,   25.0 21.0
2017-03-27  08:20:23.078,  170 / 218,   22.0 15.0
2017-03-27  08:20:23.090,  171 / 218,   22.0 11.0
2017-03-27  08:20:23.108,  172 / 218,   12.0 4.0
2017-03-27  08:20:23.122,  173 / 218,   -3.0 -11.0
2017-03-27  08:20:23.135,  174 / 218,   -7.0 -18.0
2017-03-27  08:20:23.147,  175 / 218,   -10.0 -23.0
2017-03-27  08:20:23.162,  176 / 218,   -12.0 -21.0
2017-03-27  08:20:23.178,  177 / 218,   -14.0 -20.0
2017-03-27  08:20:23.190,  178 / 218,   -8.0 -10.0
2017-03-27  08:20:23.202,  179 / 218,   11.0 -4.0
2017-03-27  08:20:23.214,  180 / 218,   19.0 -7.0
2017-03-27  08:20:23.230,  181 / 218,   17.0 -10.0
2017-03-27  08:20:23.243,  182 / 218,   15.0 -12.0
2017-03-27  08:20:23.255,  183 / 218,   11.0 -14.0
2017-03-27  08:20:23.267,  184 / 218,   10.0 -21.0
2017-03-27  08:20:23.281,  185 / 218,   4.0 -25.0
2017-03-27  08:20:23.295,  186 / 218,   1.0 -16.0
2017-03-27  08:20:23.307,  187 / 218,   -2.0 -14.0
2017-03-27  08:20:23.319,  188 / 218,   -4.0 -17.0
2017-03-27  08:20:23.335,  189 / 218,   -7.0 -17.0
2017-03-27  08:20:23.348,  190 / 218,   -9.0 -18.0
2017-03-27  08:20:23.360,  191 / 218,   -11.0 -19.0
2017-03-27  08:20:23.374,  192 / 218,   -11.0 -16.0
2017-03-27  08:20:23.386,  193 / 218,   -20.0 -25.0
2017-03-27  08:20:23.403,  194 / 218,   -2.0 -5.0
2017-03-27  08:20:23.415,  195 / 218,   9.0 -11.0
2017-03-27  08:20:23.428,  196 / 218,   10.0 -12.0
2017-03-27  08:20:23.440,  197 / 218,   3.0 -4.0
2017-03-27  08:20:23.454,  198 / 218,   5.0 -6.0
2017-03-27  08:20:23.467,  199 / 218,   15.0 -19.0
2017-03-27  08:20:23.482,  200 / 218,   18.0 -28.0
2017-03-27  08:20:23.494,  201 / 218,   2.0 -5.0
2017-03-27  08:20:23.507,  202 / 218,   0.0 -3.0
2017-03-27  08:20:23.519,  203 / 218,   -4.0 -2.0
2017-03-27  08:20:23.533,  204 / 218,   -7.0 -2.0
2017-03-27  08:20:23.546,  205 / 218,   -16.0 -1.0
2017-03-27  08:20:23.558,  206 / 218,   -15.0 2.0
2017-03-27  08:20:23.571,  207 / 218,   -16.0 5.0
2017-03-27  08:20:23.589,  208 / 218,   -19.0 8.0
2017-03-27  08:20:23.602,  209 / 218,   -20.0 11.0
2017-03-27  08:20:23.614,  210 / 218,   -28.0 20.0
2017-03-27  08:20:23.629,  211 / 218,   -36.0 26.0
2017-03-27  08:20:23.642,  212 / 218,   -26.0 19.0
2017-03-27  08:20:23.655,  213 / 218,   -22.0 20.0
2017-03-27  08:20:23.668,  214 / 218,   -18.0 20.0
2017-03-27  08:20:23.682,  215 / 218,   -12.0 18.0
2017-03-27  08:20:23.695,  216 / 218,   -6.0 21.0
2017-03-27  08:20:23.708,  217 / 218,   -1.0 19.0
2017-03-27  08:20:23.720,  218 / 218,   0.0 0.0
