2017-03-27  07:53:21.734,  180 / 218
2017-03-27  07:53:21.746,  181 / 218
2017-03-27  07:53:21.761,  182 / 218
2017-03-27  07:53:21.773,  183 / 218
2017-03-27  07:53:21.787,  184 / 218
2017-03-27  07:53:21.800,  185 / 218
2017-03-27  07:53:21.812,  186 / 218
2017-03-27  07:53:21.826,  187 / 218
2017-03-27  07:53:21.838,  188 / 218
2017-03-27  07:53:21.855,  189 / 218
2017-03-27  07:53:21.869,  190 / 218
2017-03-27  07:53:21.881,  191 / 218
2017-03-27  07:53:21.893,  192 / 218
2017-03-27  07:53:21.905,  193 / 218
2017-03-27  07:53:21.921,  194 / 218
2017-03-27  07:53:21.935,  195 / 218
2017-03-27  07:53:21.946,  196 / 218
2017-03-27  07:53:21.962,  197 / 218
2017-03-27  07:53:21.976,  198 / 218
2017-03-27  07:53:21.988,  199 / 218
2017-03-27  07:53:22.002,  200 / 218
2017-03-27  07:53:22.015,  201 / 218
2017-03-27  07:53:22.028,  202 / 218
2017-03-27  07:53:22.040,  203 / 218
2017-03-27  07:53:22.053,  204 / 218
2017-03-27  07:53:22.069,  205 / 218
2017-03-27  07:53:22.081,  206 / 218
2017-03-27  07:53:22.095,  207 / 218
2017-03-27  07:53:22.107,  208 / 218
2017-03-27  07:53:22.122,  209 / 218
2017-03-27  07:53:22.135,  210 / 218
2017-03-27  07:53:22.147,  211 / 218
2017-03-27  07:53:22.163,  212 / 218
2017-03-27  07:53:22.178,  213 / 218
2017-03-27  07:53:22.192,  214 / 218
2017-03-27  07:53:22.203,  215 / 218
2017-03-27  07:53:22.215,  216 / 218
2017-03-27  07:53:22.227,  217 / 218
2017-03-27  07:53:22.244,  218 / 218
